EQUIPMENT_ID,SERIAL_NUMBER,MAKE,MODEL,CATEGORY,SUBCATEGORY,DESCRIPTION,YEAR_MANUFACTURED,ACQUISITION_DATE,ACQUISITION_COST,REPLACEMENT_COST,BRANCH_ID,STATUS,CONDITION,LATITUDE,LONGITUDE,LAST_SERVICE_DATE,NEXT_SERVICE_DUE,HOUR_METER_READING,DAILY_RATE,WEEKLY_RATE,MONTHLY_RATE,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
EQ-010010,SKY871711F,Skyjack,SJ6826RT,AERIAL,Scissor,Scissor Lift 26ft Rough Terrain,2023,2024-10-04,92000,67750,BR-01075,RENTED,GOOD,30.247315,-97.680706,2026-03-19,2026-03-20,13542,247.99,743.97,2231.91,UR_EQUIPMENT,ab36b205c51d5b5a46d1b0026b175ccdd0432fb00ee7d8a87e89316c3992bc4c,2026-03-20T07:54:06.965872,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965873,9999-12-31T00:00:00
EQ-010011,HAU356736P,Haulotte,HA20LE,AERIAL,Articulating,Articulating Boom 66ft Electric,2018,2018-07-22,195800,256850,BR-01043,AVAILABLE,POOR,37.531106,-77.432646,2026-03-19,2026-03-20,1257,491.81,1475.43,4426.29,UR_EQUIPMENT,3fee35aae87d9461c21c8d34aad478021e728f401ba89a61efe14572809eb284,2026-03-20T07:54:06.965912,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965913,9999-12-31T00:00:00
EQ-010012,LAN821024A,Landa,PGHW,GENERAL_TOOLS,Hot,Hot Water Pressure Washer,2021,2022-11-24,58800,70500,BR-01054,MAINTENANCE,GOOD,39.97616,-83.00602,2026-03-19,2026-03-20,11248,138.48,415.44,1246.32,UR_EQUIPMENT,bcc5827e0c3e13f94c5a75c3f3e939c50717c21928491279452273346c0a3100,2026-03-20T07:54:06.965952,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965952,9999-12-31T00:00:00
EQ-010013,ATL227253O,Atlas Copco,XAS 375,GENERAL_TOOLS,Air,Air Compressor 375 CFM,2015,2016-07-19,64350,125125,BR-01100,RENTED,EXCELLENT,32.832417,-117.168808,2026-03-19,2026-03-20,14399,279.74,839.22,2517.66,UR_EQUIPMENT,cd965c638cfdc703ccefea5ed8b882c3f0fef1249014f441f08fa9e6382025ae,2026-03-20T07:54:06.965987,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.965988,9999-12-31T00:00:00
EQ-010014,CAS879779P,Case,580SN,EARTHMOVING,Backhoe,Backhoe Loader,2023,2023-12-01,126000,126400,BR-01097,MAINTENANCE,GOOD,38.573949,-121.48801,2026-03-19,2026-03-20,3107,393.51,1180.53,3541.59,UR_EQUIPMENT,c9ddf6c0bd41317c33a5d37047de2b61df82acf3d2e775bb2a6be634c4cd0da9,2026-03-20T07:54:06.966023,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966023,9999-12-31T00:00:00
EQ-010015,GEN435239R,Generac,MLT6S,GENERAL_TOOLS,Light,Light Tower 6kW,2019,2019-02-16,22000,28500,BR-01099,RENTED,GOOD,32.632763,-117.171344,2026-03-19,2026-03-20,6002,92.03,276.09,828.27,UR_EQUIPMENT,a0f29cb9a81c814fe706f65ef21c58bcb8dea256e6df9aa5c57386721e4c0253,2026-03-20T07:54:06.966059,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966060,9999-12-31T00:00:00
EQ-010016,SKY973349N,Skyjack,SJ6826RT,AERIAL,Scissor,Scissor Lift 26ft Rough Terrain,2022,2022-11-10,74750,120250,BR-01089,AVAILABLE,GOOD,47.600123,-122.335875,2026-03-19,2026-03-20,3888,243.68,731.04,2193.12,UR_EQUIPMENT,74bb469bf16ab96a1f85284687fb4cdff192ea23638a1124accf05996851c7dc,2026-03-20T07:54:06.966094,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966095,9999-12-31T00:00:00
EQ-010017,ATL539375R,Atlas Copco,XAS 185,GENERAL_TOOLS,Air,Air Compressor 185 CFM,2021,2022-08-27,68425,76650,BR-01098,RENTED,GOOD,38.740327,-121.578601,2026-03-19,2026-03-20,14192,193.56,580.68,1742.04,UR_EQUIPMENT,a36c5eaa585704b87cdb27a974444b6e6580f6924aedd3c4b1c10515fa85a4f3,2026-03-20T07:54:06.966132,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966132,9999-12-31T00:00:00
EQ-010018,TAD590094E,Tadano,GR-300XL,MATERIAL_HANDLING,Rough,Rough Terrain Crane 30T,2021,2022-02-17,430800,463200,BR-01029,RENTED,GOOD,25.759732,-80.210322,2026-03-19,2026-03-20,14270,1280.71,3842.13,11526.39,UR_EQUIPMENT,3b602923107c6882a6e4d710a3667118465437bd5bb1af587bb4f1ecf200592e,2026-03-20T07:54:06.966168,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966169,9999-12-31T00:00:00
EQ-010019,SKY497519K,Skyjack,SJ6826RT,AERIAL,Scissor,Scissor Lift 26ft Rough Terrain,2022,2023-05-13,63500,91500,BR-01076,RENTED,EXCELLENT,30.335616,-97.835282,2026-03-19,2026-03-20,4762,226.13,678.39,2035.17,UR_EQUIPMENT,b5f50fdb983dcdcb38e1c7e79176f82ade289740f87fae845bac96ff176722ad,2026-03-20T07:54:06.966201,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966202,9999-12-31T00:00:00
EQ-010020,CAT466960H,Cat,926M,EARTHMOVING,Wheel,Wheel Loader,2015,2016-07-26,183000,133500,BR-01036,RENTED,FAIR,36.099198,-86.930155,2026-03-19,2026-03-20,1353,537.35,1612.05,4836.15,UR_EQUIPMENT,3bb6692975ce34fb04843e2b3e5c99bd03047371dce50ad579b4d191191ce0bf,2026-03-20T07:54:06.966234,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966234,9999-12-31T00:00:00
EQ-010021,ATL219946S,Atlas Copco,XAS 185,GENERAL_TOOLS,Air,Air Compressor 185 CFM,2018,2019-09-18,44625,64575,BR-01097,AVAILABLE,GOOD,38.575148,-121.486845,2026-03-19,2026-03-20,11468,155.38,466.14,1398.42,UR_EQUIPMENT,f058557649f0da9595da72d2f705acef772f6e18f9cb74cff3c291957a9808d3,2026-03-20T07:54:06.966266,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966267,9999-12-31T00:00:00
EQ-010022,WAC706794A,Wacker Neuson,PT3A,GENERAL_TOOLS,Trash,Trash Pump 3in,2017,2018-11-30,34875,49625,BR-01022,RENTED,POOR,33.807775,-84.307073,2026-03-19,2026-03-20,2271,142.43,427.29,1281.87,UR_EQUIPMENT,8c75cd4b0a9b41a7be4dcdc102a58057713f7fbfb1e599efb68ed6b9a8c1bf3b,2026-03-20T07:54:06.966299,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966300,9999-12-31T00:00:00
EQ-010023,MUL416232V,Multiquip,QP-6TZ,GENERAL_TOOLS,Trash,Trash Pump 6in,2018,2018-04-07,61775,79800,BR-01051,TRANSPORT,EXCELLENT,42.38584,-82.966721,2026-03-19,2026-03-20,13156,154.1,462.3,1386.9,UR_EQUIPMENT,1568a3815b46bfee12b9f9a01f5fb1bdea6a22d608b57d2f90d9808b4cb21bb7,2026-03-20T07:54:06.966330,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966331,9999-12-31T00:00:00
EQ-010024,HAU962276P,Haulotte,HA20LE,AERIAL,Articulating,Articulating Boom 66ft Electric,2020,2021-11-11,124850,198000,BR-01006,AVAILABLE,GOOD,42.362481,-71.045879,2026-03-19,2026-03-20,7382,469.59,1408.77,4226.31,UR_EQUIPMENT,59949cdeb772cbfe01c2854a42112a238d3e35a0c76e537b72576e8b5a04e090,2026-03-20T07:54:06.966365,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966366,9999-12-31T00:00:00
EQ-010025,CHE664315Y,Checkers,RP5x8,TRENCH_SAFETY,Road,Road Plate 5x8ft,2019,2019-07-02,16150,18450,BR-01059,RENTED,GOOD,45.031676,-93.101033,2026-03-19,2026-03-20,0,51.74,155.22,465.66,UR_EQUIPMENT,85ea59d0ec293bfc372b5b0d24315f55dd53b90c375094a0dfab8a212a28876d,2026-03-20T07:54:06.966396,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966396,9999-12-31T00:00:00
EQ-010026,BOB739979V,Bobcat,T770,EARTHMOVING,Compact,Compact Track Loader,2018,2018-05-01,103950,117600,BR-01042,MAINTENANCE,FAIR,30.348567,-81.651424,2026-03-19,2026-03-20,9836,376.3,1128.9,3386.7,UR_EQUIPMENT,2422391471e3b1f9df02e1774363a7c3bcea2d4f75e167eeb1db1ebbaa944544,2026-03-20T07:54:06.966430,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966431,9999-12-31T00:00:00
EQ-010027,GEN682789A,Genie,GS-3246,AERIAL,Scissor,Scissor Lift 32ft Electric,2024,2024-09-12,66400,98400,BR-01024,RENTED,GOOD,33.660249,-84.482176,2026-03-19,2026-03-20,5026,212.07,636.21,1908.63,UR_EQUIPMENT,c80e4d990324f1382f363d74dcfda2acf72cb44f9b509fa3ccbd263714009e51,2026-03-20T07:54:06.966461,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966462,9999-12-31T00:00:00
EQ-010028,GEN197573J,Genie,GS-1930,AERIAL,Scissor,Scissor Lift 19ft Electric,2022,2023-05-28,32000,44125,BR-01093,RENTED,GOOD,36.092115,-115.154323,2026-03-19,2026-03-20,782,123.06,369.18,1107.54,UR_EQUIPMENT,4e2a31741f710627d2232ce331815e1b8947b6e2d6d708e26dd731050818e93d,2026-03-20T07:54:06.966492,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966493,9999-12-31T00:00:00
EQ-010029,GEN575786I,Generac,MLT6S,GENERAL_TOOLS,Light,Light Tower 6kW,2023,2023-04-07,27800,31400,BR-01085,RENTED,GOOD,37.782253,-122.432917,2026-03-19,2026-03-20,12015,94.92,284.76,854.28,UR_EQUIPMENT,9962803ba24ece87d763f9e40a3a904b5a12a8b93970f787ff57b2204d7dff7b,2026-03-20T07:54:06.966524,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966524,9999-12-31T00:00:00
EQ-010030,GEN859782S,Genie,GS-1930,AERIAL,Scissor,Scissor Lift 19ft Electric,2018,2018-01-07,49250,48000,BR-01041,AVAILABLE,GOOD,30.35958,-81.636618,2026-03-19,2026-03-20,5030,133.95,401.85,1205.55,UR_EQUIPMENT,dab259bc076d20227d7919f4bb8ac6eacaa169b070d9e226493d9caaad4da6f6,2026-03-20T07:54:06.966556,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966557,9999-12-31T00:00:00
EQ-010031,TOY680238J,Toyota,8FGU25,MATERIAL_HANDLING,Forklift,Forklift 5K Cushion,2017,2018-12-22,56700,73650,BR-01025,AVAILABLE,GOOD,35.223146,-80.849696,2026-03-19,2026-03-20,1393,139.84,419.52,1258.56,UR_EQUIPMENT,ea5097439d8341ce7d0503f14693291bb454b266a2062084e9786e6260958be6,2026-03-20T07:54:06.966587,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966588,9999-12-31T00:00:00
EQ-010032,JLG600935D,JLG,G10-55A,AERIAL,Telehandler,Telehandler 10K 55ft,2017,2017-02-21,97200,158400,BR-01014,MAINTENANCE,GOOD,41.740222,-72.686404,2026-03-19,2026-03-20,4636,512.84,1538.52,4615.56,UR_EQUIPMENT,d9bc58319e625792888123e4bbb86feddd53f3521a1d170edf5e15433651bb88,2026-03-20T07:54:06.966619,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966619,9999-12-31T00:00:00
EQ-010033,KUB735770T,Kubota,KX040,EARTHMOVING,Mini,Mini Excavator 4T,2016,2016-03-15,107400,92100,BR-01020,AVAILABLE,GOOD,40.745847,-74.156448,2026-03-19,2026-03-20,7318,305.23,915.69,2747.07,UR_EQUIPMENT,a859ca47899a4197f7d59a5e969ed44475240036a171e3fea2179f99b999d54d,2026-03-20T07:54:06.966650,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966651,9999-12-31T00:00:00
EQ-010034,MUL876039D,Multiquip,QP-6TZ,GENERAL_TOOLS,Trash,Trash Pump 6in,2024,2024-02-20,69125,53025,BR-01058,MAINTENANCE,GOOD,44.968829,-93.261555,2026-03-19,2026-03-20,10488,181.35,544.05,1632.15,UR_EQUIPMENT,7fb374566a85d1077c48231ce8adc7b5a5607d2a9857f9dd48aff3048b162be5,2026-03-20T07:54:06.966682,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966683,9999-12-31T00:00:00
EQ-010035,YAL592738J,Yale,GDP120,MATERIAL_HANDLING,Forklift,Forklift 12K Diesel,2021,2021-04-08,57200,84975,BR-01085,AVAILABLE,GOOD,37.773496,-122.414003,2026-03-19,2026-03-20,10229,270.92,812.76,2438.28,UR_EQUIPMENT,3926176831a2f76dbc3136108c7e0f5414eb36d3c84cf331923e7f6c615200c7,2026-03-20T07:54:06.966713,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966714,9999-12-31T00:00:00
EQ-010036,GEN545790D,Genie,GS-2632,AERIAL,Scissor,Scissor Lift 26ft Electric,2024,2024-07-12,50850,46050,BR-01090,MAINTENANCE,EXCELLENT,47.600967,-122.308713,2026-03-19,2026-03-20,3741,157.25,471.75,1415.25,UR_EQUIPMENT,e86463f37ad77e86ecf4846b06ac6fe8e4fe65cf54000fb3baa384af7bffc49c,2026-03-20T07:54:06.966744,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966745,9999-12-31T00:00:00
EQ-010037,YAL230394O,Yale,GDP120,MATERIAL_HANDLING,Forklift,Forklift 12K Diesel,2024,2024-06-09,103400,89925,BR-01019,AVAILABLE,EXCELLENT,40.727029,-74.172805,2026-03-19,2026-03-20,7695,309.75,929.25,2787.75,UR_EQUIPMENT,47a6fd9d6904e23b6941a90b61a97c763e75629a61d52b56cb7284758cc05a68,2026-03-20T07:54:06.966776,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966776,9999-12-31T00:00:00
EQ-010038,GEN195763H,Generac,MLT6S,GENERAL_TOOLS,Light,Light Tower 6kW,2020,2020-04-20,37200,46400,BR-01065,RENTED,GOOD,38.654432,-90.068828,2026-03-19,2026-03-20,923,103.11,309.33,927.99,UR_EQUIPMENT,db46ae576dc5161531e0ac672bbf3813324d42492baa8a4551d9bd9ac9d1a901,2026-03-20T07:54:06.966807,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966807,9999-12-31T00:00:00
EQ-010039,CAR563711I,Carrier,30RB,POWER_AND_HVAC,Air-Cooled,Air-Cooled Chiller 5T,2017,2018-09-19,61500,99750,BR-01003,DECOMMISSIONED,FAIR,40.721097,-73.987067,2026-03-19,2026-03-20,11174,247.79,743.37,2230.11,UR_EQUIPMENT,04195b33393c52f565b9d9289e31a9e99e23d57c5fc2cf47bed56db91ea9caaa,2026-03-20T07:54:06.966838,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966838,9999-12-31T00:00:00
EQ-010040,JOH619536J,John Deere,450K,EARTHMOVING,Crawler,Crawler Dozer,2017,2018-07-03,202950,270050,BR-01012,RENTED,GOOD,40.393141,-80.096092,2026-03-19,2026-03-20,11865,521.92,1565.76,4697.28,UR_EQUIPMENT,6ad02541264261f1a38dcc8fe40aa269eb6e8641071011097aa27beeb87c5ba9,2026-03-20T07:54:06.966869,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966870,9999-12-31T00:00:00
EQ-010041,KUB789606R,Kubota,KX040,EARTHMOVING,Mini,Mini Excavator 4T,2023,2024-12-04,95400,106500,BR-01059,AVAILABLE,GOOD,44.957696,-93.23795,2026-03-19,2026-03-20,518,329.24,987.72,2963.16,UR_EQUIPMENT,4cf7acaa4d5e5d9c55514f859534369324eab1094ea06753d36b0be7f698d5de,2026-03-20T07:54:06.966901,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966901,9999-12-31T00:00:00
EQ-010042,GEN559398W,Genie,GTH-636,AERIAL,Telehandler,Telehandler 6K 36ft,2019,2019-07-22,113400,98350,BR-01047,RENTED,GOOD,41.845079,-87.779864,2026-03-19,2026-03-20,5219,355.17,1065.51,3196.53,UR_EQUIPMENT,44023fea76d8cdc594101dc67f644a56650e47c6b21b8b14914e808ae6283d68,2026-03-20T07:54:06.966932,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966932,9999-12-31T00:00:00
EQ-010043,HAU583863D,Haulotte,HA20LE,AERIAL,Articulating,Articulating Boom 66ft Electric,2018,2019-03-14,200750,254650,BR-01031,RENTED,GOOD,27.814649,-82.492036,2026-03-19,2026-03-20,2358,631.22,1893.66,5680.98,UR_EQUIPMENT,d93bbcee9e05dc4763d8439804ae8c5e5b226d586a17d538f89c9037a33c3c21,2026-03-20T07:54:06.966963,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966963,9999-12-31T00:00:00
EQ-010044,GEN299869T,Genie,GS-2632,AERIAL,Scissor,Scissor Lift 26ft Electric,2022,2023-05-19,49500,66150,BR-01066,RENTED,GOOD,38.595387,-90.194041,2026-03-19,2026-03-20,6784,152.31,456.93,1370.79,UR_EQUIPMENT,d207ea883ddc7adb85b8ba3fb15cb9185fb20717b035155538721b61525bdc1c,2026-03-20T07:54:06.966995,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.966995,9999-12-31T00:00:00
EQ-010045,MAR396578X,Marley,NC Series,POWER_AND_HVAC,Cooling,Cooling Tower,2023,2023-08-09,96600,162400,BR-01009,AVAILABLE,FAIR,39.963637,-75.170443,2026-03-19,2026-03-20,542,325.55,976.65,2929.95,UR_EQUIPMENT,08c70db8a8bc27ffbb16171fd7975fd064ac9cf7fb7c4754b43b40a641161893,2026-03-20T07:54:06.967025,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967026,9999-12-31T00:00:00
EQ-010046,LIE297816W,Liebherr,LTM 1050,MATERIAL_HANDLING,All,All Terrain Crane 50T,2023,2024-06-29,469800,712800,BR-01063,MAINTENANCE,GOOD,39.117993,-94.598851,2026-03-19,2026-03-20,5772,1733.69,5201.07,15603.21,UR_EQUIPMENT,ac2082ee677d36947e9501e616066ca1ec66e31ea059cf4b3cfacceb3c9a53e2,2026-03-20T07:54:06.967056,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967056,9999-12-31T00:00:00
EQ-010047,CAT232378Q,Cat,926M,EARTHMOVING,Wheel,Wheel Loader,2017,2018-10-17,175500,167000,BR-01006,AVAILABLE,GOOD,42.367909,-71.047127,2026-03-19,2026-03-20,1106,499.3,1497.9,4493.7,UR_EQUIPMENT,3f551329207925b17f709782ccb17815a8c17092905a111a986f046a921a8131,2026-03-20T07:54:06.967087,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967088,9999-12-31T00:00:00
EQ-010048,MAR377896K,Marley,NC Series,POWER_AND_HVAC,Cooling,Cooling Tower,2017,2017-03-24,125650,149450,BR-01057,AVAILABLE,POOR,39.768852,-86.177851,2026-03-19,2026-03-20,13304,305.36,916.08,2748.24,UR_EQUIPMENT,7c31e6bd9d889ea4414c29577f8c929992cbcd5275996612f93ba1b52b6e69c2,2026-03-20T07:54:06.967118,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967119,9999-12-31T00:00:00
EQ-010049,CAT747453C,Cat,314,EARTHMOVING,Excavator,Excavator 14T,2022,2023-01-21,156000,246600,BR-01043,MAINTENANCE,FAIR,37.532557,-77.432583,2026-03-19,2026-03-20,1088,667.03,2001.09,6003.27,UR_EQUIPMENT,f51b197cf8daa2c5814387c09edbbcc8658368d3152bdaecb0e531616599c7be,2026-03-20T07:54:06.967149,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967150,9999-12-31T00:00:00
EQ-010050,GEN414012A,Generac,MLT6S,GENERAL_TOOLS,Light,Light Tower 6kW,2016,2017-11-12,21100,33300,BR-01030,RENTED,GOOD,25.665102,-80.157712,2026-03-19,2026-03-20,11870,98.31,294.93,884.79,UR_EQUIPMENT,fe4b38411bd9df0c81978ef63ff20ddd6f9730d56ddd1d8ce5960e9739561403,2026-03-20T07:54:06.967180,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967181,9999-12-31T00:00:00
EQ-010051,GEN739098M,Generac,MLT6S,GENERAL_TOOLS,Light,Light Tower 6kW,2017,2018-02-19,35800,42400,BR-01046,RENTED,EXCELLENT,41.896032,-87.602448,2026-03-19,2026-03-20,1793,90.1,270.3,810.9,UR_EQUIPMENT,5ebca7c0840511db62d455766aebc66709208ae806bb416710cbfa4c342fedd5,2026-03-20T07:54:06.967212,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967213,9999-12-31T00:00:00
EQ-010052,HAU673149F,Haulotte,HA20LE,AERIAL,Articulating,Articulating Boom 66ft Electric,2022,2023-07-11,119900,199650,BR-01019,AVAILABLE,GOOD,40.728549,-74.173627,2026-03-19,2026-03-20,11601,616.2,1848.6,5545.8,UR_EQUIPMENT,e6fb35f25c0965f32af0adac880dd9e81a92485fa66cfc399a5624a33a9d2537,2026-03-20T07:54:06.967243,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967244,9999-12-31T00:00:00
EQ-010053,KUN994787P,Kundel,V-Panel,TRENCH_SAFETY,Manhole,Manhole Box,2018,2018-01-13,34050,46500,BR-01039,RENTED,GOOD,35.674824,-78.521283,2026-03-19,2026-03-20,0,172.47,517.41,1552.23,UR_EQUIPMENT,32f53c6b8a71ae78bda47d1b149741135ad8eabb612d34dd490623fded0fd869,2026-03-20T07:54:06.967274,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967275,9999-12-31T00:00:00
EQ-010054,CAS819112Y,Case,580SN,EARTHMOVING,Backhoe,Backhoe Loader,2021,2021-01-30,156000,199600,BR-01074,AVAILABLE,FAIR,29.441198,-98.466153,2026-03-19,2026-03-20,9772,372.94,1118.82,3356.46,UR_EQUIPMENT,b79b1792c1d6abb18ca2c169001b460b55cdcece074e1f301315c156c3a707e6,2026-03-20T07:54:06.967305,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.967306,9999-12-31T00:00:00
