RECORD_ID,EQUIPMENT_ID,BRANCH_ID,MAINTENANCE_TYPE,DESCRIPTION,SCHEDULED_DATE,START_DATE,COMPLETION_DATE,LABOR_HOURS,PARTS_COST,LABOR_COST,TOTAL_COST,TECHNICIAN_NAME,STATUS,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
MR-040011,EQ-010539,BR-01027,INSPECTION,Inspection maintenance - Rough Terrain Forklift,2026-02-05,2026-02-07,2026-02-09,19.9,0.0,1617.44,1617.44,Jacqueline Johnson,COMPLETED,UR_MAINTENANCE_RECORDS,bf4ec379e6881a3ae942bcdd320c225377efd0dba49aa13423f7ffa6c396e156,2026-03-20T07:54:08.395596,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395597,9999-12-31T00:00:00
MR-040012,EQ-011735,BR-01012,PREVENTIVE,Preventive maintenance - Trench Box 12ft,2025-12-09,2025-12-12,2025-12-13,19.2,351.28,2610.95,2962.23,Jordan Mosley,COMPLETED,UR_MAINTENANCE_RECORDS,d560bbe07a44ff93f5abbfafab31fc28e04cb0069f6340775c5b455e5c79502e,2026-03-20T07:54:08.395665,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395665,9999-12-31T00:00:00
MR-040013,EQ-014502,BR-01018,CORRECTIVE,Corrective maintenance - Scissor Lift 19ft Electric,2026-01-17,2026-01-18,2026-01-20,21.7,1334.93,2863.79,4198.72,Dylan Nelson,COMPLETED,UR_MAINTENANCE_RECORDS,2c302c5484db5d4ffce20fe390527f4326962a3299a9655bbb550e7d9e50344f,2026-03-20T07:54:08.395739,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395740,9999-12-31T00:00:00
MR-040014,EQ-011750,BR-01024,EMERGENCY,Emergency maintenance - Scissor Lift 26ft Rough Terrain,2025-11-08,2025-11-09,2025-11-09,17.5,4681.08,2091.2,6772.28,Mary Ford,COMPLETED,UR_MAINTENANCE_RECORDS,cc1332dff4799c0fa2b53f6cb16e42c52fd6cb14db65d73b0b0067a4a7620739,2026-03-20T07:54:08.395825,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395826,9999-12-31T00:00:00
MR-040015,EQ-010906,BR-01069,CORRECTIVE,Corrective maintenance - Telehandler 6K 36ft,2026-02-15,2026-02-15,2026-02-15,15.7,4545.59,2047.78,6593.37,Andrea Randolph,COMPLETED,UR_MAINTENANCE_RECORDS,7e8e89dc661dfb30f105af686e0944759680c89266bbdbce5dfa9b0f45939458,2026-03-20T07:54:08.395900,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395901,9999-12-31T00:00:00
MR-040016,EQ-014603,BR-01012,PREVENTIVE,Preventive maintenance - Telehandler 10K 55ft,2025-04-04,2025-04-07,2025-04-09,5.9,2176.7,502.49,2679.19,Megan Taylor,COMPLETED,UR_MAINTENANCE_RECORDS,4fc01ab0b983a53c65782e526d011457ee19ef5a63d306ce6bc9be5a1abfb4ec,2026-03-20T07:54:08.395968,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.395968,9999-12-31T00:00:00
MR-040017,EQ-013841,BR-01029,PREVENTIVE,Preventive maintenance - Welder Generator 500A,2025-05-07,2025-05-07,2025-05-07,23.0,1396.64,1990.04,3386.68,Derek Cox,COMPLETED,UR_MAINTENANCE_RECORDS,b8cca8e1f396b6bd70fb0322666c47fe11763fe33d4dc04ec6e3ff2f83cd1900,2026-03-20T07:54:08.396038,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396038,9999-12-31T00:00:00
MR-040018,EQ-010525,BR-01002,PREVENTIVE,Preventive maintenance - Welder Generator 300A,2025-05-10,2025-05-10,2025-05-12,16.8,3584.25,2233.12,5817.37,David Ramirez,COMPLETED,UR_MAINTENANCE_RECORDS,1b1e39403864b979f42696285224c606fd7d1620d2559b2e40b5a0ccdeea993e,2026-03-20T07:54:08.396104,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396105,9999-12-31T00:00:00
MR-040019,EQ-012043,BR-01036,PREVENTIVE,Preventive maintenance - Mini Excavator 4T,2026-01-29,2026-01-29,2026-01-30,3.5,3621.97,420.15,4042.12,Sophia Weaver,COMPLETED,UR_MAINTENANCE_RECORDS,196a6880dd5f71133b3c692f6f01dcfae002668d4ef95a8eb1c12a593b04c318,2026-03-20T07:54:08.396171,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396172,9999-12-31T00:00:00
MR-040020,EQ-012790,BR-01061,PREVENTIVE,Preventive maintenance - Boom Lift 80ft Straight,2025-04-23,2025-04-25,2025-04-26,19.4,1724.11,1882.21,3606.32,Mr. John Gonzales,COMPLETED,UR_MAINTENANCE_RECORDS,dad2a14c739f57e47b4f488bbe86e0bb4b00d09bd2b08c9a16f38bd614d366d6,2026-03-20T07:54:08.396240,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396241,9999-12-31T00:00:00
MR-040021,EQ-010313,BR-01018,PREVENTIVE,Preventive maintenance - Scissor Lift 19ft Electric,2025-07-30,2025-08-01,2025-08-03,23.8,3742.36,2718.37,6460.73,Mark Mitchell,COMPLETED,UR_MAINTENANCE_RECORDS,cdd98207db54881383e303b4a1a49f72c4e1517a47c466ac2da6892200b8e540,2026-03-20T07:54:08.396311,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396312,9999-12-31T00:00:00
MR-040022,EQ-013193,BR-01013,EMERGENCY,Emergency maintenance - Compact Track Loader,2026-01-30,2026-02-02,2026-02-02,2.2,2129.21,262.38,2391.59,Kevin Maldonado,COMPLETED,UR_MAINTENANCE_RECORDS,654f3789e41f6bb452353b02a6e21cd559aed2cf8615b17afd1bc787cfbd3343,2026-03-20T07:54:08.396377,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396378,9999-12-31T00:00:00
MR-040023,EQ-011095,BR-01027,CORRECTIVE,Corrective maintenance - Scissor Lift 32ft Electric,2026-03-09,2026-03-09,2026-03-10,24.0,1350.0,2683.71,4033.71,Lisa Morales,COMPLETED,UR_MAINTENANCE_RECORDS,99a94d888f748de7c31a21326d2922ac0b10ccb8acc8bffeefd3a0dd57b259ff,2026-03-20T07:54:08.396448,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396449,9999-12-31T00:00:00
MR-040024,EQ-013508,BR-01027,PREVENTIVE,Preventive maintenance - Scissor Lift 26ft Electric,2025-12-16,2025-12-17,2025-12-17,15.8,427.2,1254.38,1681.58,Adam Ewing,COMPLETED,UR_MAINTENANCE_RECORDS,0f3d44fd6e28ef544bbbffbd0f30f3ae47191dacecd99b16f22e7e871a27801f,2026-03-20T07:54:08.396538,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396539,9999-12-31T00:00:00
MR-040025,EQ-010553,BR-01059,PREVENTIVE,Preventive maintenance - Forklift 12K Diesel,2025-04-13,2025-04-14,2025-04-14,8.0,4770.88,1144.85,5915.73,Mark Martinez,COMPLETED,UR_MAINTENANCE_RECORDS,ce7d54ce6693e67c2d962bf0d7f2cab8459d627225b44aa1739e86c611454fc6,2026-03-20T07:54:08.396730,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396731,9999-12-31T00:00:00
MR-040026,EQ-010501,BR-01019,CORRECTIVE,Corrective maintenance - Backhoe Loader,2025-04-12,2025-04-12,2025-04-13,9.8,3769.8,887.98,4657.78,Matthew Norris,COMPLETED,UR_MAINTENANCE_RECORDS,7b7e64b52926eca2c846fdadabddb3e40b5b1ccdeddb9a55ef8289bacb26fede,2026-03-20T07:54:08.396802,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396803,9999-12-31T00:00:00
MR-040027,EQ-010647,BR-01022,CORRECTIVE,Corrective maintenance - Excavator 14T,2025-05-23,2025-05-26,2025-05-27,17.5,4747.62,2251.24,6998.86,Gary Brown,COMPLETED,UR_MAINTENANCE_RECORDS,22851927c03192fd389d85bbec114f2b0832d20c12b8a33fd92420e898fd2768,2026-03-20T07:54:08.396869,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396870,9999-12-31T00:00:00
MR-040028,EQ-013055,BR-01077,PREVENTIVE,Preventive maintenance - All Terrain Crane 50T,2026-01-18,2026-01-18,2026-01-19,13.7,3083.41,1888.58,4971.99,Jennifer Singh,COMPLETED,UR_MAINTENANCE_RECORDS,a83ff83fa2fd81cf7b9b6726cc62841fe0664f94d3fd2f3120fa2b9baf4ebc9c,2026-03-20T07:54:08.396947,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.396947,9999-12-31T00:00:00
MR-040029,EQ-014568,BR-01003,PREVENTIVE,Preventive maintenance - Forklift 12K Diesel,2025-11-11,2025-11-11,2025-11-11,2.8,2829.54,297.07,3126.61,Billy Pena,COMPLETED,UR_MAINTENANCE_RECORDS,928af8c9e60dc5467172756b6098018b7c9a97311102a02d7ac9e83e889ed8c7,2026-03-20T07:54:08.397012,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397013,9999-12-31T00:00:00
MR-040030,EQ-012630,BR-01076,PREVENTIVE,Preventive maintenance - Boom Lift 60ft Straight,2025-08-19,2025-08-21,2025-08-22,4.5,4770.65,582.37,5353.02,Destiny Reid,COMPLETED,UR_MAINTENANCE_RECORDS,c28e188760c9ff2631f5ccc976bbbe71450d224895524adb7d2b4b0c0a7bdadb,2026-03-20T07:54:08.397078,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397079,9999-12-31T00:00:00
MR-040031,EQ-010734,BR-01070,PREVENTIVE,Preventive maintenance - Scissor Lift 19ft Electric,2025-03-23,2025-03-26,2025-03-27,16.4,3941.26,2160.08,6101.34,Scott Fitzgerald,COMPLETED,UR_MAINTENANCE_RECORDS,2ce237b742ad37c6fbd215a498aa9a965ef12272f8b4d2578c2f58dcd9eb543f,2026-03-20T07:54:08.397143,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397144,9999-12-31T00:00:00
MR-040032,EQ-010484,BR-01035,PREVENTIVE,Preventive maintenance - Scissor Lift 32ft Electric,2025-10-02,2025-10-02,2025-10-03,11.5,3934.56,1370.8,5305.36,Caleb Harrell,COMPLETED,UR_MAINTENANCE_RECORDS,5d1f0add9119f20fa677ad5d30f2ad979b1fe69189dbdeeb2721ade3439510f4,2026-03-20T07:54:08.397218,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397218,9999-12-31T00:00:00
MR-040033,EQ-012955,BR-01067,INSPECTION,Inspection maintenance - Rough Terrain Crane 30T,2025-12-08,2025-12-10,2025-12-10,6.3,0.0,520.08,520.08,Eric Martinez,COMPLETED,UR_MAINTENANCE_RECORDS,2d5432a4167e907ca32948882a390512e899e47aaac3eb1a0711abb7b03a50f8,2026-03-20T07:54:08.397283,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397284,9999-12-31T00:00:00
MR-040034,EQ-013189,BR-01014,PREVENTIVE,Preventive maintenance - Welder Generator 300A,2025-10-18,2025-10-21,2025-10-22,15.4,258.62,1999.65,2258.27,Valerie Terrell,COMPLETED,UR_MAINTENANCE_RECORDS,a197b6f6508af834111cc19a74de80cbd3d80f3ed4ba7f2f28dbc453bbaab340,2026-03-20T07:54:08.397356,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397357,9999-12-31T00:00:00
MR-040035,EQ-013599,BR-01052,CORRECTIVE,Corrective maintenance - Boom Lift 80ft Straight,2025-08-24,2025-08-25,2025-08-27,17.1,1710.54,1881.44,3591.98,Scott Wade,COMPLETED,UR_MAINTENANCE_RECORDS,252fd2b6189feb5050644cd543d90b303c10f786f84e3fbc9f13b61a386c298e,2026-03-20T07:54:08.397422,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397422,9999-12-31T00:00:00
MR-040036,EQ-012527,BR-01019,EMERGENCY,Emergency maintenance - Welder Generator 300A,2026-03-16,2026-03-18,,22.4,2663.36,3244.9,5908.26,Matthew Brown,SCHEDULED,UR_MAINTENANCE_RECORDS,f5191a7513c1b81568fd1bf57ab0f342034f8677db6b4529da7e0b2e2d7d6385,2026-03-20T07:54:08.397487,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397488,9999-12-31T00:00:00
MR-040037,EQ-010662,BR-01026,CORRECTIVE,Corrective maintenance - Light Tower 6kW,2025-12-11,2025-12-12,2025-12-13,7.7,451.83,1007.94,1459.77,Michelle Blanchard,COMPLETED,UR_MAINTENANCE_RECORDS,bcb25ef784e019d33a160c14a6e212f1725fae1af643b89874701f4cbadf6e92,2026-03-20T07:54:08.397557,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397558,9999-12-31T00:00:00
MR-040038,EQ-011621,BR-01001,EMERGENCY,Emergency maintenance - Air Compressor 185 CFM,2025-04-23,2025-04-26,2025-04-27,14.1,1316.85,1732.39,3049.24,Mario Nelson,COMPLETED,UR_MAINTENANCE_RECORDS,56e5f7100d8e9f0391f903908861bb0bde2d61306bf91d2c155dccb33a31a338,2026-03-20T07:54:08.397622,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397623,9999-12-31T00:00:00
MR-040039,EQ-010401,BR-01045,PREVENTIVE,Preventive maintenance - Air Compressor 185 CFM,2025-12-16,2025-12-18,2025-12-19,11.5,3331.72,934.84,4266.56,Marisa Levy,COMPLETED,UR_MAINTENANCE_RECORDS,9258bc584642de010d4982819da5dbc0984f2609d29621e41f0bdfaf7c007b6b,2026-03-20T07:54:08.397690,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397690,9999-12-31T00:00:00
MR-040040,EQ-014747,BR-01080,INSPECTION,Inspection maintenance - Scissor Lift 26ft Electric,2025-10-07,2025-10-08,2025-10-09,2.7,0.0,385.55,385.55,Nathan Price,COMPLETED,UR_MAINTENANCE_RECORDS,9787cbdf3c6fc0bdabc3f8809d2f042e26e49056f8fcfd8bb9e6d55bf12ebd68,2026-03-20T07:54:08.397755,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397756,9999-12-31T00:00:00
MR-040041,EQ-010498,BR-01068,EMERGENCY,Emergency maintenance - All Terrain Crane 50T,2025-11-24,2025-11-25,2025-11-26,20.4,1947.86,2189.06,4136.92,Jason Morales,COMPLETED,UR_MAINTENANCE_RECORDS,94692eccb9394d63374e9989aa5396bbbfce0d0b0e76db8fbf89098ad6139d7c,2026-03-20T07:54:08.397820,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397821,9999-12-31T00:00:00
MR-040042,EQ-014692,BR-01023,CORRECTIVE,Corrective maintenance - Scissor Lift 26ft Electric,2025-09-30,2025-10-01,2025-10-02,13.2,2929.17,1175.33,4104.5,Hannah Murphy,COMPLETED,UR_MAINTENANCE_RECORDS,8ab22e765d064f8d79dc6466e2a70f3225edabd03f5d7a1c9b861ddef4043e44,2026-03-20T07:54:08.397887,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397888,9999-12-31T00:00:00
MR-040043,EQ-013610,BR-01090,CORRECTIVE,Corrective maintenance - Wheel Loader,2025-07-13,2025-07-13,2025-07-15,20.5,3110.84,2108.78,5219.62,Jeffrey Vazquez,COMPLETED,UR_MAINTENANCE_RECORDS,f88f3a108ea278c86980d3f5224fa05d383cb642712e64a9776b9c7e8e05c821,2026-03-20T07:54:08.397953,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.397954,9999-12-31T00:00:00
MR-040044,EQ-014573,BR-01097,INSPECTION,Inspection maintenance - Scissor Lift 26ft Electric,2025-10-14,2025-10-17,2025-10-17,3.0,0.0,427.13,427.13,Matthew Ruiz,COMPLETED,UR_MAINTENANCE_RECORDS,693d7bd5dcb86909efde99a05722f8354d0768ec567a267d4f040dcc23edffc3,2026-03-20T07:54:08.398020,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398020,9999-12-31T00:00:00
MR-040045,EQ-011130,BR-01041,CORRECTIVE,Corrective maintenance - Forklift 12K Diesel,2025-05-06,2025-05-09,2025-05-09,8.7,3629.89,1286.47,4916.36,Amy Clark,COMPLETED,UR_MAINTENANCE_RECORDS,f3b1065e425db24f3cc23eefd2e9f16fdc66a6650887e4f273738974678fa9e6,2026-03-20T07:54:08.398086,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398087,9999-12-31T00:00:00
MR-040046,EQ-012073,BR-01090,INSPECTION,Inspection maintenance - Air Compressor 375 CFM,2025-10-20,2025-10-23,2025-10-25,19.6,0.0,2802.79,2802.79,Christy Lawson MD,COMPLETED,UR_MAINTENANCE_RECORDS,e943bd75a6df80622cfc91c1a37e7d9366bf9f7d435b5e41141e5ea371075cab,2026-03-20T07:54:08.398154,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398155,9999-12-31T00:00:00
MR-040047,EQ-011921,BR-01020,CORRECTIVE,Corrective maintenance - Rough Terrain Forklift,2025-07-14,2025-07-15,2025-07-17,3.3,112.25,260.25,372.5,Michael Chase,COMPLETED,UR_MAINTENANCE_RECORDS,ffd9de19b09dc334dc3b3c66cf638f145fe43f770fc63eae3ebc66e266b6de35,2026-03-20T07:54:08.398219,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398219,9999-12-31T00:00:00
MR-040048,EQ-014681,BR-01090,PREVENTIVE,Preventive maintenance - Trash Pump 3in,2026-01-13,2026-01-16,2026-01-17,16.8,1501.45,1520.76,3022.21,Nathan Reed,COMPLETED,UR_MAINTENANCE_RECORDS,6957645267abb8f10f04240647e13eb86f6c2c341081f554447437e82d0ff76a,2026-03-20T07:54:08.398284,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398285,9999-12-31T00:00:00
MR-040049,EQ-012742,BR-01034,INSPECTION,Inspection maintenance - Light Tower 6kW,2025-09-12,2025-09-12,2025-09-13,12.7,0.0,1382.75,1382.75,Jeffrey Marks,COMPLETED,UR_MAINTENANCE_RECORDS,3f5fa9040504b44606b3d5728e4311dd27133e91e3606848a7f7ec6bd8b94b73,2026-03-20T07:54:08.398348,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398349,9999-12-31T00:00:00
MR-040050,EQ-012341,BR-01045,EMERGENCY,Emergency maintenance - Scissor Lift 32ft Electric,2025-08-05,2025-08-07,2025-08-07,9.9,3946.37,989.28,4935.65,Michelle Lopez,COMPLETED,UR_MAINTENANCE_RECORDS,17d5c31845db6ce27e67884458e8c0580dffd2f9d52765205ed9b03b8d53eb28,2026-03-20T07:54:08.398413,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398414,9999-12-31T00:00:00
MR-040051,EQ-010260,BR-01071,CORRECTIVE,Corrective maintenance - Air-Cooled Chiller 5T,2026-03-06,2026-03-06,2026-03-08,16.1,3294.27,1448.54,4742.81,Amber Buck,COMPLETED,UR_MAINTENANCE_RECORDS,803bdef05f0f8b0de59c0fcb069578dc1995d2019300881657d8f18f34c46655,2026-03-20T07:54:08.398479,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398480,9999-12-31T00:00:00
MR-040052,EQ-013370,BR-01021,EMERGENCY,Emergency maintenance - Trash Pump 3in,2025-09-07,2025-09-08,2025-09-09,12.1,3343.82,1554.07,4897.89,Daniel Brown,COMPLETED,UR_MAINTENANCE_RECORDS,e46e091641a26bf069b7b14e2aa51871da58904b51e97089cac9eadf4be54764,2026-03-20T07:54:08.398543,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398544,9999-12-31T00:00:00
MR-040053,EQ-010117,BR-01011,PREVENTIVE,Preventive maintenance - Hydraulic Shoring System,2025-09-06,2025-09-08,2025-09-09,22.9,959.63,1796.32,2755.95,Danielle Holmes,COMPLETED,UR_MAINTENANCE_RECORDS,f240835f8e1ea10755c432a2610df794e07c68e76c0a7e2acfbc4d2b56ef739e,2026-03-20T07:54:08.398612,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398613,9999-12-31T00:00:00
MR-040054,EQ-011367,BR-01068,CORRECTIVE,Corrective maintenance - Telehandler 6K 36ft,2025-08-05,2025-08-08,2025-08-10,13.4,4333.21,1971.7,6304.91,Richard Marks,COMPLETED,UR_MAINTENANCE_RECORDS,f653d0acacbf48f11ff74460cb94e53774b7edebc485a0f02aa5bdb50519d026,2026-03-20T07:54:08.398680,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398681,9999-12-31T00:00:00
MR-040055,EQ-010038,BR-01065,EMERGENCY,Emergency maintenance - Light Tower 6kW,2026-02-26,2026-02-26,2026-02-28,16.7,2100.97,2229.84,4330.81,Michael Perez,COMPLETED,UR_MAINTENANCE_RECORDS,b0c27cd546527908bab2e652ebaee61ba735cdb18ba983557cf123e5abead53b,2026-03-20T07:54:08.398745,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398746,9999-12-31T00:00:00
MR-040056,EQ-011454,BR-01035,INSPECTION,Inspection maintenance - Forklift 8K Pneumatic,2025-06-19,2025-06-19,2025-06-21,21.9,0.0,3015.33,3015.33,Kristopher Ford,COMPLETED,UR_MAINTENANCE_RECORDS,d85c2cc5e71aff2711eb423eff165c312bfa4374efe27c76eeacfc17a0c8e461,2026-03-20T07:54:08.398810,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398811,9999-12-31T00:00:00
MR-040057,EQ-011913,BR-01036,PREVENTIVE,Preventive maintenance - Indirect Fired Heater 400K BTU,2025-12-07,2025-12-10,2025-12-12,16.2,431.77,1894.75,2326.52,Raymond Morgan,COMPLETED,UR_MAINTENANCE_RECORDS,4468583205e859a8e696205d3abfd8734049867782795f0d181c1f32f1f7a26a,2026-03-20T07:54:08.398875,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398876,9999-12-31T00:00:00
MR-040058,EQ-011540,BR-01070,PREVENTIVE,Preventive maintenance - Road Plate 5x8ft,2025-04-24,2025-04-25,2025-04-25,1.2,4882.29,144.6,5026.89,Tara Jarvis,COMPLETED,UR_MAINTENANCE_RECORDS,cafa616b89c1b18d818153ae3026437ba77cd0b121b44a0df1a15ed8d58c6916,2026-03-20T07:54:08.398941,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.398942,9999-12-31T00:00:00
MR-040059,EQ-014105,BR-01027,CORRECTIVE,Corrective maintenance - Welder Generator 500A,2025-11-04,2025-11-07,2025-11-07,1.7,2773.79,224.27,2998.06,Jasmine Porter,COMPLETED,UR_MAINTENANCE_RECORDS,884d84b3c26c60d67335f8b7f84fa73ef48d0d1b4f0fa52081aa706810565733,2026-03-20T07:54:08.399007,UNITED_RENTALS,TRUE,2026-03-20T07:54:08.399008,9999-12-31T00:00:00
