BRANCH_ID,BRANCH_NAME,BRANCH_TYPE,ADDRESS,CITY,STATE,ZIP_CODE,LATITUDE,LONGITUDE,REGION,DISTRICT,PHONE,MANAGER_NAME,OPEN_DATE,EMPLOYEE_COUNT,IS_ACTIVE,_SOURCE_TABLE,_ROW_HASH,_LOADED_AT,_SOURCE_SYSTEM,_IS_CURRENT,_VALID_FROM,_VALID_TO
BR-01011,United Rentals - Pittsburgh Specialty #2,SPECIALTY,9985 Harris Stravenue,Pittsburgh,PA,41681,40.416165,-80.020097,NORTHEAST,PA-NOR,946.324.7510,Daniel Baker,2023-12-11,30,TRUE,UR_BRANCHES,dc62abfcac070d711ce2e89861cfeb812dd266de9d17dfd0228406bc2917bc10,2026-03-20T07:54:06.956308,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956308,9999-12-31T00:00:00
BR-01012,United Rentals - Pittsburgh Tool Rental #3,TOOL_RENTAL,54278 Carr Valley,Pittsburgh,PA,86218,40.446824,-79.977472,NORTHEAST,PA-NOR,508.741.2411x82449,Mark Baker,2015-06-30,37,TRUE,UR_BRANCHES,3aee3afaee89c251874c418281e1d55b0e23baf0fa84adea79c4891fc152e50b,2026-03-20T07:54:06.956417,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956418,9999-12-31T00:00:00
BR-01013,United Rentals - Hartford #1,BRANCH,64005 Dana Greens,Hartford,CT,21679,41.766525,-72.663938,NORTHEAST,CT-NOR,001-478-868-0112x8059,Eric Nolan,2021-05-04,32,TRUE,UR_BRANCHES,f2b7f5b977441bc72c53dbbe739dda40d616ad85b2ceec2168d11692fd3bd611,2026-03-20T07:54:06.956516,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956516,9999-12-31T00:00:00
BR-01014,United Rentals - Hartford Specialty #2,SPECIALTY,3315 Dickson Summit,Hartford,CT,20758,41.740528,-72.685809,NORTHEAST,CT-NOR,622.460.2563,Ashley Brennan,2022-07-11,31,TRUE,UR_BRANCHES,e4cfc135898de93350056aa779a3a33a0afabbabbb1663099504f74f97129fbd,2026-03-20T07:54:06.956626,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956627,9999-12-31T00:00:00
BR-01015,United Rentals - Hartford Tool Rental #3,TOOL_RENTAL,75433 Donna Locks,Hartford,CT,43526,41.770441,-72.661126,NORTHEAST,CT-NOR,614-258-6850x142,Jeffrey Chandler,2012-03-04,10,TRUE,UR_BRANCHES,f1a6975ecf42e1a34fdbabb6b9c95fcddce20a3b3e22ef5daeb0d9e6effae19e,2026-03-20T07:54:06.956724,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956724,9999-12-31T00:00:00
BR-01016,United Rentals - Baltimore #1,BRANCH,9340 Smith Valley,Baltimore,MD,71076,39.293625,-76.606739,NORTHEAST,MD-NOR,+1-835-661-5951x48465,Cheryl Ortega,2013-06-01,13,TRUE,UR_BRANCHES,7944490b5db0907923de3ad84e2c8c8cf816af03615d3b3e52bec890f12d7849,2026-03-20T07:54:06.956833,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956834,9999-12-31T00:00:00
BR-01017,United Rentals - Baltimore Specialty #2,SPECIALTY,946 Kevin Fords,Baltimore,MD,56847,39.311719,-76.590211,NORTHEAST,MD-NOR,001-495-377-7387,Matthew Harvey,2007-12-28,32,TRUE,UR_BRANCHES,2352a3be4f5920134951a9875bd877ad4d570cb7591b064110daba9870fc9d6f,2026-03-20T07:54:06.956936,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.956937,9999-12-31T00:00:00
BR-01018,United Rentals - Baltimore Tool Rental #3,TOOL_RENTAL,433 Andrew Gardens,Baltimore,MD,62778,39.277078,-76.604059,NORTHEAST,MD-NOR,+1-317-869-3676x320,Robert Dominguez,2015-01-15,31,TRUE,UR_BRANCHES,bdc4a9a04ace9d92eccbe2fa0e7b94c20fc5aa1729078c9e9cc7f6114686f4bd,2026-03-20T07:54:06.957032,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957033,9999-12-31T00:00:00
BR-01019,United Rentals - Newark #1,BRANCH,72788 Dodson Mills,Newark,NJ,80802,40.728953,-74.175295,NORTHEAST,NJ-NOR,001-586-687-2774x3487,Micheal Young,2012-08-05,25,TRUE,UR_BRANCHES,281865f6543c484224ec9c1f1ba2e3bef107ba303af84bf68197815324ecc457,2026-03-20T07:54:06.957141,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957141,9999-12-31T00:00:00
BR-01020,United Rentals - Newark Specialty #2,SPECIALTY,23623 Robert Isle,Newark,NJ,71622,40.747809,-74.161387,NORTHEAST,NJ-NOR,760.636.6909x670,Sarah Ashley,2014-03-05,12,TRUE,UR_BRANCHES,c47d121bdca4502aedc296724a0ec76b404a99c4ce6f510f25dd6608c0236620,2026-03-20T07:54:06.957239,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957240,9999-12-31T00:00:00
BR-01021,United Rentals - Newark Tool Rental #3,TOOL_RENTAL,3467 Paul Skyway,Newark,NJ,89517,40.742248,-74.192132,NORTHEAST,NJ-NOR,(427)929-8069x9016,David Murphy,2014-11-08,23,TRUE,UR_BRANCHES,6939314856d4b55e93b699da55f2283230e3e252b3756c963ce75ba16084341c,2026-03-20T07:54:06.957337,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957338,9999-12-31T00:00:00
BR-01022,United Rentals - Atlanta #1,BRANCH,4641 Smith Plains Apt. 531,Atlanta,GA,85927,33.742268,-84.390411,SOUTHEAST,GA-SOU,9033309232,Claudia Lyons,2020-10-13,43,TRUE,UR_BRANCHES,89a9047cbb4c11c4fe98d8675bb991fa0410de4bc998109556a78d4cd939e3d7,2026-03-20T07:54:06.957446,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957446,9999-12-31T00:00:00
BR-01023,United Rentals - Atlanta Specialty #2,SPECIALTY,912 Rodriguez Burg,Atlanta,GA,41389,33.732177,-84.398543,SOUTHEAST,GA-SOU,001-366-231-9314,Jeffrey Wood,2015-10-29,11,TRUE,UR_BRANCHES,f25cb468b1236ca22d79559dc409c0fe14cbea14efb2dc852a14d9b93c60ac09,2026-03-20T07:54:06.957551,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957552,9999-12-31T00:00:00
BR-01024,United Rentals - Atlanta Tool Rental #3,TOOL_RENTAL,67165 Zimmerman Mews Apt. 849,Atlanta,GA,71040,33.732743,-84.416074,SOUTHEAST,GA-SOU,001-877-769-4531x47379,Samuel White,2010-03-30,28,TRUE,UR_BRANCHES,fa6f70e7e03beb4f47c5c4ca108cd28f592894bc9c12494ecd791948a77ae7d4,2026-03-20T07:54:06.957712,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957713,9999-12-31T00:00:00
BR-01025,United Rentals - Charlotte #1,BRANCH,4948 Zachary Field Apt. 367,Charlotte,NC,73269,35.225123,-80.851776,SOUTHEAST,NC-SOU,001-937-777-0143x63495,Patrick Rivera,2019-07-27,44,TRUE,UR_BRANCHES,1ecc62ef9cff05fe9d1e49d6c00ef38d9f6a8e65aec872fc0ee680ec0ef84c32,2026-03-20T07:54:06.957844,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957845,9999-12-31T00:00:00
BR-01026,United Rentals - Charlotte Specialty #2,SPECIALTY,4313 Wilson Plain Apt. 337,Charlotte,NC,36742,35.249682,-80.854219,SOUTHEAST,NC-SOU,001-498-694-1343x5240,Anthony Carter,2024-02-25,39,TRUE,UR_BRANCHES,9704c4dbde57f384dfe18e96c2cd7c68d370d73444ad89b1bf2cf985cb98dac1,2026-03-20T07:54:06.957969,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.957970,9999-12-31T00:00:00
BR-01027,United Rentals - Charlotte Tool Rental #3,TOOL_RENTAL,09477 Peterson Center Suite 711,Charlotte,NC,53022,35.220838,-80.818227,SOUTHEAST,NC-SOU,519.802.2941x3186,Jeremy Dalton,2025-01-08,37,TRUE,UR_BRANCHES,96325e03ba8f84c80c90d4ae22842baaee4744bfb8cf8efa43d605c68e00402d,2026-03-20T07:54:06.958091,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958091,9999-12-31T00:00:00
BR-01028,United Rentals - Miami #1,BRANCH,909 Stacey Fords Apt. 412,Miami,FL,31940,25.754557,-80.199007,SOUTHEAST,FL-SOU,(681)220-6797,Michael Warner,2014-11-03,43,TRUE,UR_BRANCHES,4405d353e93e4dd16d6456ce936bc3def2ddade898f9bdb876395efc89ef1ecf,2026-03-20T07:54:06.958191,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958192,9999-12-31T00:00:00
BR-01029,United Rentals - Miami Specialty #2,SPECIALTY,9361 Deborah Grove,Miami,FL,19144,25.764039,-80.176979,SOUTHEAST,FL-SOU,902-649-9471,Terri Mason,2015-08-06,35,TRUE,UR_BRANCHES,d39f89492b199be91bbf4073cb0ba93d7ce0a22f5576a4b97a83840e6b4a058a,2026-03-20T07:54:06.958290,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958291,9999-12-31T00:00:00
BR-01030,United Rentals - Miami Tool Rental #3,TOOL_RENTAL,065 Johnson Forks,Miami,FL,88882,25.785569,-80.197836,SOUTHEAST,FL-SOU,001-990-649-0278,Kevin Walters,2015-07-23,22,TRUE,UR_BRANCHES,2c69a603bee4998c09baaad320c0508523d19d994df7d4da56eb44d7f8a6e11f,2026-03-20T07:54:06.958403,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958404,9999-12-31T00:00:00
BR-01031,United Rentals - Tampa #1,BRANCH,5655 Mia Isle,Tampa,FL,54456,27.960547,-82.464433,SOUTHEAST,FL-SOU,001-874-268-0715x451,Kimberly Gutierrez,2009-10-11,39,TRUE,UR_BRANCHES,4c6318717c343508ad2e9aaa47472cc1d7af2006bf4bf90d9d42bffa057f7406,2026-03-20T07:54:06.958500,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958500,9999-12-31T00:00:00
BR-01032,United Rentals - Tampa Specialty #2,SPECIALTY,770 Joseph Curve Suite 771,Tampa,FL,04284,27.926055,-82.484373,SOUTHEAST,FL-SOU,+1-393-424-8086x1317,Dr. Jordan Hill PhD,2024-11-01,15,TRUE,UR_BRANCHES,09a40e756ef1a881d54619e2be1e8c061015e75943626fe02d9e9e859a2243c3,2026-03-20T07:54:06.958607,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958608,9999-12-31T00:00:00
BR-01033,United Rentals - Tampa Tool Rental #3,TOOL_RENTAL,8263 Michelle Harbor,Tampa,FL,54888,27.92977,-82.477601,SOUTHEAST,FL-SOU,784-804-4997x27875,Frank Lopez,2019-06-19,35,TRUE,UR_BRANCHES,3201315029475f2b8709b1f07b818d76424d4bb6178f155706a3b9335fccbd17,2026-03-20T07:54:06.958708,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958709,9999-12-31T00:00:00
BR-01034,United Rentals - Nashville #1,BRANCH,60576 Mcneil Turnpike Apt. 702,Nashville,TN,66337,36.164628,-86.783905,SOUTHEAST,TN-SOU,001-851-471-8702,Richard Baker,2018-01-20,37,TRUE,UR_BRANCHES,deae14b390f920a4aef203b4b310689946e5207047912e0c7e306b867664c681,2026-03-20T07:54:06.958821,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958822,9999-12-31T00:00:00
BR-01035,United Rentals - Nashville Specialty #2,SPECIALTY,158 Finley Road Suite 809,Nashville,TN,09469,36.164447,-86.753335,SOUTHEAST,TN-SOU,643.216.1172,Robert Carter,2013-05-03,8,TRUE,UR_BRANCHES,d58aea4c2a8af6e526b223da40b497b534d10baa691f8903e7f64ba0ede2af2c,2026-03-20T07:54:06.958929,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.958929,9999-12-31T00:00:00
BR-01036,United Rentals - Nashville Tool Rental #3,TOOL_RENTAL,86922 Christian Ways,Nashville,TN,50641,36.173517,-86.804727,SOUTHEAST,TN-SOU,+1-637-492-3747x407,Tony Huerta,2011-11-24,42,TRUE,UR_BRANCHES,af177f22259f1958ddd2a1be6c4800f29a3e74dc7f0b7651be6f46acfc64500a,2026-03-20T07:54:06.959023,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959024,9999-12-31T00:00:00
BR-01037,United Rentals - Raleigh #1,BRANCH,474 Yvonne Walk Suite 136,Raleigh,NC,75464,35.784618,-78.632828,SOUTHEAST,NC-SOU,(694)540-6409x097,Heather Fields,2018-01-04,29,TRUE,UR_BRANCHES,30fa9e9ef0e6ed1c17f65221e0b1ad9b672e787642afefa9166d7627bc70bae4,2026-03-20T07:54:06.959120,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959121,9999-12-31T00:00:00
BR-01038,United Rentals - Raleigh Specialty #2,SPECIALTY,104 Johnson Lakes,Raleigh,NC,96492,35.756293,-78.642114,SOUTHEAST,NC-SOU,(714)656-2328,Dawn Summers,2015-05-15,37,TRUE,UR_BRANCHES,c9a4e86484ab72f8398bb2badf17c759da85a4f177ead79be4091092e2aa59d8,2026-03-20T07:54:06.959236,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959240,9999-12-31T00:00:00
BR-01039,United Rentals - Raleigh Tool Rental #3,TOOL_RENTAL,517 Donald Fork Suite 851,Raleigh,NC,52218,35.749795,-78.624874,SOUTHEAST,NC-SOU,7483175496,Kaitlyn Harvey,2024-02-18,24,TRUE,UR_BRANCHES,6a9e1201d454afb47bbc01446814aa4602d8561e3af90409be8e656c0167b9ef,2026-03-20T07:54:06.959334,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959335,9999-12-31T00:00:00
BR-01040,United Rentals - Jacksonville #1,BRANCH,317 Banks Crescent Apt. 004,Jacksonville,FL,65070,30.341638,-81.650461,SOUTHEAST,FL-SOU,813-482-6758,Mary Bass,2017-11-29,40,TRUE,UR_BRANCHES,fc38d3a878cbe7bf1f315a48dcef2795530c896a65ecdba0f7bce9b14f01138d,2026-03-20T07:54:06.959440,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959441,9999-12-31T00:00:00
BR-01041,United Rentals - Jacksonville Specialty #2,SPECIALTY,53773 Garcia Spur Suite 850,Jacksonville,FL,52685,30.356958,-81.633469,SOUTHEAST,FL-SOU,531-371-3900x532,Kristen Willis,2021-08-29,27,TRUE,UR_BRANCHES,68b0d445fec7e89ee59cb05891b3f0d6806ded58fc6e207dba8a82b48b0e806c,2026-03-20T07:54:06.959553,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959553,9999-12-31T00:00:00
BR-01042,United Rentals - Jacksonville Tool Rental #3,TOOL_RENTAL,2904 Vanessa Plains,Jacksonville,FL,33354,30.3527,-81.65524,SOUTHEAST,FL-SOU,(210)420-5395,Cameron Fisher,2008-05-16,20,TRUE,UR_BRANCHES,4bb54a08dfdf7e23031c28fea713bd743189089890a41ca4e64a9cc3b8a908f3,2026-03-20T07:54:06.959648,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959649,9999-12-31T00:00:00
BR-01043,United Rentals - Richmond #1,BRANCH,7589 Shannon Forges,Richmond,VA,81124,37.533757,-77.43075,SOUTHEAST,VA-SOU,3849700766,Jill Lam,2012-05-02,42,TRUE,UR_BRANCHES,42a90cb5b003482a2704f6c5dbea4368cdd121347f94189b9cafcd16ad90ec69,2026-03-20T07:54:06.959741,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959741,9999-12-31T00:00:00
BR-01044,United Rentals - Richmond Specialty #2,SPECIALTY,24998 James Ranch,Richmond,VA,70042,37.56791,-77.410654,SOUTHEAST,VA-SOU,778-996-1183x6736,Nicholas Edwards,2012-02-25,8,TRUE,UR_BRANCHES,9ddc07c326bf48597aa53410d4308497a7e74a8918a083ec973174c2e0b6e234,2026-03-20T07:54:06.959848,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959848,9999-12-31T00:00:00
BR-01045,United Rentals - Richmond Tool Rental #3,TOOL_RENTAL,2711 Christopher Court Suite 280,Richmond,VA,77370,37.546637,-77.436684,SOUTHEAST,VA-SOU,+1-685-716-5604,Jordan Moore,2015-05-17,15,TRUE,UR_BRANCHES,63bd3ee5557ca33adc920cb24098264b4c17477191769527bd369b588041ffbf,2026-03-20T07:54:06.959947,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.959948,9999-12-31T00:00:00
BR-01046,United Rentals - Chicago #1,BRANCH,8514 Lindsay Vista,Chicago,IL,74027,41.886682,-87.622226,MIDWEST,IL-MID,001-499-480-9402x44550,Jennifer Thomas,2018-03-30,27,TRUE,UR_BRANCHES,38c62f1ec836a2b0eff43433ff99a1726d872f9654ffcdc011beabd4b100cb5b,2026-03-20T07:54:06.960048,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960049,9999-12-31T00:00:00
BR-01047,United Rentals - Chicago Specialty #2,SPECIALTY,83667 Moore Inlet,Chicago,IL,95082,41.862467,-87.645348,MIDWEST,IL-MID,999-810-2290x14767,Paul Wilson,2014-05-20,44,TRUE,UR_BRANCHES,463d7ef79f82ad4cf41cd1bd3d951ca014971f0e111933daf3fa46dff0df4593,2026-03-20T07:54:06.960153,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960153,9999-12-31T00:00:00
BR-01048,United Rentals - Chicago Tool Rental #3,TOOL_RENTAL,978 Williams Locks Apt. 034,Chicago,IL,28187,41.904917,-87.654661,MIDWEST,IL-MID,001-724-345-1076x22683,Patrick Graham,2014-12-13,39,TRUE,UR_BRANCHES,543401d40c58e432b405ca08e3fc40adfd7d8e7743ca5193d3ad74a76f4d5ecd,2026-03-20T07:54:06.960258,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960259,9999-12-31T00:00:00
BR-01049,United Rentals - Detroit #1,BRANCH,9696 Roberts Lodge,Detroit,MI,03234,42.33772,-83.03624,MIDWEST,MI-MID,829-675-1613x69681,Connie Maxwell,2007-08-31,42,TRUE,UR_BRANCHES,0f0f6bd6dba45c56feb3f5b5735ea3ed7022cafe13385cebae46efb78957fd62,2026-03-20T07:54:06.960360,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960360,9999-12-31T00:00:00
BR-01050,United Rentals - Detroit Specialty #2,SPECIALTY,835 Luna Viaduct,Detroit,MI,85100,42.34735,-83.068097,MIDWEST,MI-MID,(331)424-3292,Lori Marshall,2016-12-03,38,TRUE,UR_BRANCHES,b2e508e7f7bf9fb5107cd09f975ef4fb816a466a84e207303d288e4aabfee95b,2026-03-20T07:54:06.960460,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960461,9999-12-31T00:00:00
BR-01051,United Rentals - Detroit Tool Rental #3,TOOL_RENTAL,995 Hernandez Cliff Suite 744,Detroit,MI,78019,42.358211,-83.065892,MIDWEST,MI-MID,7586147700,Sean Wyatt,2017-11-24,41,TRUE,UR_BRANCHES,65e0b6d27758316c3a02b699a7f1d982e5a2ea7264e9979a15be063e4e77a27b,2026-03-20T07:54:06.960567,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960567,9999-12-31T00:00:00
BR-01052,United Rentals - Columbus #1,BRANCH,9807 Marc Mountains Apt. 071,Columbus,OH,45516,39.968649,-83.000337,MIDWEST,OH-MID,001-718-720-3778x892,Jasmine Schroeder,2019-02-10,21,TRUE,UR_BRANCHES,05dfd7b8520a820cad97c4f21393d7de19e9fd9f0f12ed92eb0e50d31d025a0a,2026-03-20T07:54:06.960663,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960664,9999-12-31T00:00:00
BR-01053,United Rentals - Columbus Specialty #2,SPECIALTY,515 Angela Lights,Columbus,OH,37744,39.986935,-82.983484,MIDWEST,OH-MID,392-651-9254x629,Maria Murphy,2008-08-22,20,TRUE,UR_BRANCHES,c7f939dd64735804d354b81f42b1cf620817dfb0a49c66baaa6453f727bb2d3e,2026-03-20T07:54:06.960757,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960757,9999-12-31T00:00:00
BR-01054,United Rentals - Columbus Tool Rental #3,TOOL_RENTAL,685 Michael Falls,Columbus,OH,28575,39.973977,-83.00486,MIDWEST,OH-MID,473-832-2141x88805,Christopher Schwartz,2018-01-31,31,TRUE,UR_BRANCHES,867ba7918f14b38212183818e6775b264b2abdee90bb3f0a25c0d421f2550d55,2026-03-20T07:54:06.960851,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960852,9999-12-31T00:00:00
BR-01055,United Rentals - Indianapolis #1,BRANCH,706 Rhodes Freeway,Indianapolis,IN,58723,39.767162,-86.157748,MIDWEST,IN-MID,+1-947-638-3473x597,Kathryn Barnes,2009-04-17,15,TRUE,UR_BRANCHES,f9168851080e1d6fd53ffa3c3dccaba8a033d666062814307e0a3c42f9c1fdcf,2026-03-20T07:54:06.960953,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.960954,9999-12-31T00:00:00
BR-01056,United Rentals - Indianapolis Specialty #2,SPECIALTY,240 Sawyer Plaza,Indianapolis,IN,13947,39.753274,-86.184258,MIDWEST,IN-MID,001-581-941-2478x261,Tara Perry,2013-09-29,9,TRUE,UR_BRANCHES,bba95f52610640cb8417a3e5e4204384a11dd7f68e31c05f191ca7b5f86f41a1,2026-03-20T07:54:06.961064,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.961065,9999-12-31T00:00:00
BR-01057,United Rentals - Indianapolis Tool Rental #3,TOOL_RENTAL,61530 Galvan Villages Suite 220,Indianapolis,IN,38102,39.773699,-86.174293,MIDWEST,IN-MID,827.379.0104x3289,Cynthia Martinez,2010-09-29,22,TRUE,UR_BRANCHES,f4d438efe88a400e271257aba966785a5304c8ca0821f12c810551ea10f3fd61,2026-03-20T07:54:06.961172,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.961172,9999-12-31T00:00:00
BR-01058,United Rentals - Minneapolis #1,BRANCH,17980 Jennifer Highway Suite 095,Minneapolis,MN,32032,44.967944,-93.260843,MIDWEST,MN-MID,001-262-818-5188,Amanda Hughes,2013-04-22,11,TRUE,UR_BRANCHES,a65a381afdf9f71e61f4944aa6069b36c4dce28a203ba67bd2a90d5ff495a1f3,2026-03-20T07:54:06.961270,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.961270,9999-12-31T00:00:00
BR-01059,United Rentals - Minneapolis Specialty #2,SPECIALTY,1531 Anderson Knoll,Minneapolis,MN,72068,44.961537,-93.240675,MIDWEST,MN-MID,727-672-2170x43030,Virginia Daniels,2011-01-10,29,TRUE,UR_BRANCHES,fd18755408daa0db14017b72d029dee7dc5b39ad1e34b9f1b81f3df18f784092,2026-03-20T07:54:06.961372,UNITED_RENTALS,TRUE,2026-03-20T07:54:06.961373,9999-12-31T00:00:00
